lesson_id,course_id,title,language,audio_url,words_count,unknown_count,source_local,first_seen,last_synced
25448734,1481111,"23 - Sport machen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/23_-_Sport_machen.7f7ec90837e2.mp3,,102,,2026-05-24,2026-05-24
25448774,1481111,"24 - Zur Bank gehen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/24_-_Zur_Bank_gehen.78e811f54a6f.mp3,,129,,2026-05-24,2026-05-24
25448810,1481111,"25 - Telefonieren",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/25_-_Telefonieren.68d5639267fb.mp3,,97,,2026-05-24,2026-05-24
25448818,1481111,"26 - E-Mails schreiben",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/26_-_E-Mails_schreiben.d2ffbb6e1686.mp3,,133,,2026-05-24,2026-05-24
25449089,1481111,"27 - Über die Schule sprechen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/27_-_%C3%9Cber_die_Schule_sprechen.e664f37ff731.mp3,,140,,2026-05-24,2026-05-24
25449414,1481111,"28 - Über das Leben an der Universität sprechen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/28_-_%C3%9Cber_das_Leben_an_der_Universit%C3%A4t_sprechen.d7c1244667cd.mp3,,139,,2026-05-24,2026-05-24
25449473,1481111,"29 - Über verschiedene Lebensstile sprechen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/29_-_%C3%9Cber_verschiedene_Lebensstile_sprechen.356255189253.mp3,,132,,2026-05-24,2026-05-24
25449552,1481111,"30 - Über die Umwelt sprechen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/30_-_%C3%9Cber_die_Umwelt_sprechen.bfff53df1d17.mp3,,151,,2026-05-24,2026-05-24
29568893,1666623,"169-Woher kommen die Ortsnamen Sorge und Elend",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_out_84f3fa5b.e3576f6a1212.mp3,,82,,2026-05-24,2026-05-24
30276978,1696460,"AUDIO 01",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_out_8d003dcb.c9949a8930b3.mp3,,48,,2026-05-24,2026-05-24
30277012,1696460,"AUDIO 02",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_out_8966e51c.ca5236e03056.mp3,,267,,2026-05-24,2026-05-24
35743190,2013160,"Ali Baba und die vierzig Räuber 3",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_35743190.c4cbc10a613.mp3,,538,,2026-05-24,2026-05-24
36873271,2122932,"B1 - Linie 1 - Kapitel 12 - S182 - ÜBUNGEN 1a",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tts_audio_36873271_31238fc8.5483c6d0a133.mp3,,99,,2026-05-24,2026-05-24
36887012,2122932,"2025-02-25 - Hausaufgabe- Beantworten Sie folgende Fragen",de,,,51,,2026-05-24,2026-05-24
36887199,2122932,"B1 - K12 - S177 - 3b",de,,,92,,2026-05-24,2026-05-24
36888685,2122932,"B1 - K12 - S179 - Script 3.45",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tts_audio_36888685_5b22777d.6a6f171f4286.mp3,,58,,2026-05-24,2026-05-24
36888840,2122932,"B1 - K12 - S184 - Übung 3d",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tts_audio_36888840_ae2286d8.4a92792ce127.mp3,,62,,2026-05-24,2026-05-24
36892695,2122932,"B1 - K12 - S185 - übung 4d",de,,,84,,2026-05-24,2026-05-24
36892934,2122932,"B1 - K12 - S186 - Übung 5a",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tts_audio_36892934_747a8d7.e6356cd0737.mp3,,54,,2026-05-24,2026-05-24
36893334,2122932,"B1 - K12 - S186 - Übung 5a (Version 2)",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tts_audio_36893334_13677007.18ff2786c8f.mp3,,47,,2026-05-24,2026-05-24
36894876,1019491,"Tagesschau in 100 Sekunden — 26.02.2025",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/TV-20250227-0500-2500.webs.h264.9093429ec109.mp3,,140,,2026-05-24,2026-05-24
36902923,2122932,"B1 - K12 - Ubung 5a (full)",de,,,54,,2026-05-24,2026-05-24
36903487,2122932,"B1 - K12 - S180 - Script 3.46",de,,,161,,2026-05-24,2026-05-24
36906387,2122932,"B1 - K12 - S191 - Testtraining - ok",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_36906387.fae4c373a591.mp3,,171,,2026-05-24,2026-05-24
36922661,2122932,"DTZ - Modelltest 1 Hören",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_36922661.853af7d8c501.mp3,,575,,2026-05-24,2026-05-24
36973178,2122932,"DTZ Sprechen Teil 2 - A",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tts_audio_36973178_99da84c7.27fe55051e8a.mp3,,146,,2026-05-24,2026-05-24
36991069,2134209,"B1 - K13 - S194 - 2a",de,,,143,,2026-05-24,2026-05-24
36991372,2134209,"B1 - K13 - Sprechen Teil 2 ""über Erfahrungen sprechen""",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tts_audio_36991372_ff52fefd.48cb745b56b9.mp3,,122,,2026-05-24,2026-05-24
37006709,2122932,"B1 - K13 - S195 - 3a",de,,,72,,2026-05-24,2026-05-24
37006811,2134209,"B1 - K13 - S195 - 3a - Audio 4.09",de,,,120,,2026-05-24,2026-05-24
37007309,2134209,"B1 - K13 - S196 - 4a - Eine E-Mail vom Kinderheim",de,,,125,,2026-05-24,2026-05-24
37020529,2134209,"B1 - K13 - S202 - Übung 4a - reflexive Verben",de,,,56,,2026-05-24,2026-05-24
37022000,2134209,"B1 - K13 - S202 - Übung 4b",de,,,31,,2026-05-24,2026-05-24
37023515,2134209,"B1 - K13 - S197 - 5 Und Sie",de,,,41,,2026-05-24,2026-05-24
37023775,2134209,"B1 - K14 - 1a - Familie Kulagin",de,,,35,,2026-05-24,2026-05-24
37023931,2134209,"B1 - K14 - Script 4.16",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/B1_-_K14_-_Script_4.16.8d6ffbf956e0.mp3,,110,,2026-05-24,2026-05-24
37024457,2134209,"B1 - K14 - 1d",de,,,44,,2026-05-24,2026-05-24
37025066,2134209,"B1 - K14 - S208 - Script 4.17",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/B1_-_K14_-_Script_4.17.30343fa33f66.mp3,,104,,2026-05-24,2026-05-24
37025156,2134209,"B1 - K14 - S208 - Script 4.18",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/B1_-_K14_-_Script_4.18.3c61bfff9dbb.mp3,,172,,2026-05-24,2026-05-24
37037022,2138497,"DTZ - Đề 1 - Schreiben",de,,,149,,2026-05-24,2026-05-24
37039200,2138681,2025-03-07,de,,,36,,2026-05-24,2026-05-24
37039238,2134209,"B1 - K14 - S208 - 2 Und Sie",de,,,57,,2026-05-24,2026-05-24
37041216,2138497,"DTZ - Đề 1 - Sprechen Teil 3",de,,,144,,2026-05-24,2026-05-24
37041582,2138497,"DTZ - Đề 1 - Sprechen Teil 3 (2)",de,,,214,,2026-05-24,2026-05-24
37041674,2138923,"DTZ - Đề 1 - Sprechen Teil 3 (2)",de,,,106,,2026-05-24,2026-05-24
37044112,2139238,"DTZ Telc B1 Mündliche Prüfung Teil 3 | etwas zusammen planen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37044112.92f8b3af3d42.mp3,,239,,2026-05-24,2026-05-24
37076062,2138681,"2025-03-10 - Email Athina",de,,,107,,2026-05-24,2026-05-24
37083614,2143272,Netflix,de,,,305,,2026-05-24,2026-05-24
37086538,2138497,"DTZ - 2 - Lesen",de,,,545,,2026-05-24,2026-05-24
37086670,2138681,"Montag, 10. März 2025",de,,,35,,2026-05-24,2026-05-24
37087381,2138497,"DTZ - 2 - Horen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37087381.1b295905971c.mp3,,483,,2026-05-24,2026-05-24
37088765,2134209,"B1 - K13 - S202 - Ubung 4d",de,,,35,,2026-05-24,2026-05-24
37105185,2145073,"DTZ Sprechen Teil 1 - 2025-03-11",de,,,76,,2026-05-24,2026-05-24
37105706,2145073,"DTZ Spreren Teil 1 - Fragen & Antworten",de,,,142,,2026-05-24,2026-05-24
37107568,2134209,"B1 - K14 - S211 - Audio 4.20",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/B1_-_K14_-_Audio_4.20.e058ec683f64.mp3,,122,,2026-05-24,2026-05-24
37107635,2134209,"B1 - K14 - S211 - 5d",de,,,19,,2026-05-24,2026-05-24
37148704,2148993,"Prüfungstraining DTZ - 1 (79)",de,,,81,,2026-05-24,2026-05-24
37157666,2149682,"Leben in Deutschland - Audio 24",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37157666.5fbbf2b63950.mp3,,111,,2026-05-24,2026-05-24
37179199,2152050,"E-Mail HP - 2025-03-16",de,,,47,,2026-05-24,2026-05-24
37180995,2145073,"DTZ Sprechen Teil 1 - 2025-03-16",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tts_audio_37180995_61bebdfc.347397cf1061.mp3,,46,,2026-05-24,2026-05-24
37191781,2153576,"DTZ Mündliche Prüfung Teil 2 | Bildbeschreibung",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37191781.7cd4f17ec3c3.mp3,,342,,2026-05-24,2026-05-24
37203315,2149682,"Leben in Deutschland - S99 - 2d",de,,,115,,2026-05-24,2026-05-24
37203980,2149682,"Leben in Deutschland - S101 - 3d",de,,,117,,2026-05-24,2026-05-24
37217577,2149682,"Leben in Deutschland - S102 - 5a",de,,,77,,2026-05-24,2026-05-24
37217640,2149682,"Leben in Deutschland - S103 - 5b",de,,,84,,2026-05-24,2026-05-24
37218355,2149682,"Leben in Deutschland - S104 - Erziehung und Bildung - 1",de,,,75,,2026-05-24,2026-05-24
37218422,2149682,"Leben in Deutschland - S104 - Meine Kindheit und Erziehung",de,,,70,,2026-05-24,2026-05-24
37218549,2149682,"Leben in Deutschland - S104 - Erziehung und Bildung - 2a",de,,,106,,2026-05-24,2026-05-24
37218663,2149682,"S104 - Erziehungsstile in Deutschland und Vietnam",de,,,84,,2026-05-24,2026-05-24
37219096,2149682,"S106 - Das Schulsystem in Vietnam",de,,,42,,2026-05-24,2026-05-24
37219135,2149682,"S106 - 1b - Mein Schulwissen und was ich heute noch brauche",de,,,31,,2026-05-24,2026-05-24
37229549,2153576,"Sprechen Teil 2 - Beispiel 1",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37229549.9dd055c9e781.mp3,,78,,2026-05-24,2026-05-24
37237458,2149682,"S108 - 2c - Text B",de,,,62,,2026-05-24,2026-05-24
37237550,2149682,"S108 - 2C - Text C",de,,,66,,2026-05-24,2026-05-24
37237746,2149682,"S108 - 2c - Lösung des Aufgaben",de,,,95,,2026-05-24,2026-05-24
37238396,2149682,"S113 - Verantwortung der Eltern in der Erziehung",de,,,45,,2026-05-24,2026-05-24
37238554,2149682,"S113 - Altersgrenzen im Jugendschutzgesetz",de,,,45,,2026-05-24,2026-05-24
37246829,2153576,"Sprechen Teil 2 - Geschwister auf dem Sofa - 2025-03-20",de,,,78,,2026-05-24,2026-05-24
37267410,2149682,"S121 - Slimane Arroudj – Ein echtes Vorbild",de,,,43,,2026-05-24,2026-05-24
37271890,2153576,"Sprechen Teil 2 - Beispiel 2",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37271890.97bde5b6d432.mp3,,65,,2026-05-24,2026-05-24
37280245,2153576,"B1-Prüfung _ ein Bild beschreiben intensiv Training",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37280245.f27b462dabea.mp3,,733,,2026-05-24,2026-05-24
37292971,2153576,"1 - Frühstück mit der Familie",de,,,63,,2026-05-24,2026-05-24
37325280,2149682,"S127 - Leben in Deutschland - Audio 26 - 2a",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37325280.8a7ffa8de77c.mp3,,98,,2026-05-24,2026-05-24
37331931,2149682,"Leben in Deutschland - S129 - 2b",de,,,84,,2026-05-24,2026-05-24
37332009,2149682,"Leben in Deutschland - S130 - 3a",de,,,92,,2026-05-24,2026-05-24
37347393,2149682,"S134 - Leben in Deutschland - 2",de,,,165,,2026-05-24,2026-05-24
37347960,2169238,Part,de,,,148,,2026-05-24,2026-05-24
37348222,2149682,"S138 - Leben in Deutschland - Audio 27",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Track_027.c1d38f6742dc.mp3,,125,,2026-05-24,2026-05-24
37362292,2149682,"S139 - Religiöse Regeln und moderne Welt",de,,,51,,2026-05-24,2026-05-24
37362333,2149682,"S139 - Zusammenleben mit und ohne Religion",de,,,54,,2026-05-24,2026-05-24
37363170,2149682,"S140 - Mein neues Bild von Deutschland",de,,,96,,2026-05-24,2026-05-24
37377879,2149682,"S64 - Audio 8",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37377879.82560143c582.mp3,,92,,2026-05-24,2026-05-24
37378413,2149682,"S66 - Teilung Deutschlands in DDR und BRD",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Track_009.61c1948898a6.mp3,,93,,2026-05-24,2026-05-24
37380910,2139238,"Geburtstagsfeier für Kollegin",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Geburtstagsfeier-fBCr-Kollegin_35812419_1743206845.594d8d561daa.mp3,,127,,2026-05-24,2026-05-24
37384732,2139238,"Abschiedsfeier für eine Kollegin",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37384732.61dde77e1bb4.mp3,,128,,2026-05-24,2026-05-24
37384822,2153576,"3 - Hochzeitspaar im Freien",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37384822.cb0743f26ddd.mp3,,72,,2026-05-24,2026-05-24
37398956,2139238,"Hoffest gemeinsam planen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37398956.64f4d49f723.mp3,,110,,2026-05-24,2026-05-24
37399016,2153576,"Zwei Frauen im Café",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/2_phu_nu_quan_cafe_Heinrich_-_2.d396f2bb689b.mp3,,73,,2026-05-24,2026-05-24
37413647,2153576,"Zwei Frauen im Café - 2025-03-21",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37413647.bb6467469433.mp3,,73,,2026-05-24,2026-05-24
37428455,2139238,"Einer Teilnehmerin beim Umzug helfen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37428455.e689a4675869.mp3,,128,,2026-05-24,2026-05-24
37428599,2153576,"5- Eine Frau im Wohnzimmer",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37428599.b90cde3484fe.mp3,,72,,2026-05-24,2026-05-24
37438970,2145073,2025-04-02,de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/Hoi_dap_1.cddb062cc49b.mp3,,123,,2026-05-24,2026-05-24
37451792,2153576,"5- Eine Frau im Wohnzimmer - 2025-04-02",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37451792.22929b3980d1.mp3,,57,,2026-05-24,2026-05-24
37452467,2153576,"6- Mann liest Zeitung im Park",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37452467.895c7dc087be.mp3,,60,,2026-05-24,2026-05-24
37457100,2139238,"Aufzug kaputt – gemeinsam handeln",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37457100.aad690d1ccb0.mp3,,96,,2026-05-24,2026-05-24
37550376,2139238,"Gemeinsam für die Prüfung lernen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37550376.2aa114335733.mp3,,95,,2026-05-24,2026-05-24
37550423,2139238,"Einen Ausflug mit einem Freund planen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_37550423.1bd05d8ece12.mp3,,108,,2026-05-24,2026-05-24
37561485,2139238,"S3 - Letzter Kurstag – Party und Kochen planen",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/S3_-_Letzter_Kurstag__Party_und_Kochen_planen.b627a542264c.mp3,,119,,2026-05-24,2026-05-24
37570166,2188522,"DTZ Schreiben 01",de,,,80,,2026-05-24,2026-05-24
37570399,2188522,"DTZ Schreiben 02",de,,,72,,2026-05-24,2026-05-24
37570766,2188522,"DTZ Schreiben 03",de,,,68,,2026-05-24,2026-05-24
37570808,2188522,"DTZ Schreiben 04",de,,,79,,2026-05-24,2026-05-24
37570871,2188522,"DTZ Schreiben 05",de,,,64,,2026-05-24,2026-05-24
37763529,2206701,"Das Frühlingswetter bleibt verregnet",de,,,50,,2026-05-24,2026-05-24
37763565,2206701,"Frühlingsfest mit vier Schlägen eröffnet",de,,,74,,2026-05-24,2026-05-24
37763702,2206712,"Gemeinde Elsau Das Gartenbistro Claire’s Besäbeizli öffnet nicht mehr",de,,,114,,2026-05-24,2026-05-24
37933891,2143272,"Der Schatten - 1",de,,,801,,2026-05-24,2026-05-24
38064049,1019491,"Tagesschau in 100 Sekunden — 11.05.2025",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_38064049.b8cb907b05a9.mp3,,136,,2026-05-24,2026-05-24
38367452,2253839,"Chi - 2025-05-27 (01)",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/2025-05-27.d054876e9aa8.mp3,,33,,2026-05-24,2026-05-24
38368551,2253839,"Chi - 2025-05-27 (02)",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/2025-05-27_02.616bf6c1c624.mp3,,29,,2026-05-24,2026-05-24
38832310,2143272,Passengers,de,,,1420,,2026-05-24,2026-05-24
38833366,2143272,"Olympo S1:E1",de,,,977,,2026-05-24,2026-05-24
39609382,2303576,"22.07.2025 – Langsam Gesprochene Nachrichten",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_39609382.3af9d8ed3d09.mp3,,278,,2026-05-24,2026-05-24
40870210,2451313,"eTraining - Lesen - Teil 3-9",de,,,189,,2026-05-24,2026-05-24
40874576,2451643,"1: Modelltest 2 Hören Teil 1",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tts_audio_40874576_4539f9b3.3e73912706bf.mp3,,152,,2026-05-24,2026-05-24
40874577,2451643,"2: Modelltest 2 Hören Teil 2",de,,,166,,2026-05-24,2026-05-24
40874578,2451643,"3: Modelltest 2 Hören Teil 3",de,,,246,,2026-05-24,2026-05-24
40874580,2451643,"4: Modelltest 2 Hören Teil 4",de,,,138,,2026-05-24,2026-05-24
41135933,2470569,"#341 Geschichte zum Lesen & Hören || Thema: Einsamkeit | Deutsch lernen durch Hören || C1 - C2",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/norm_audio_out_9ef80e18.8f97540196f5_1a2409f8.22e3d1f2e469.mp3,,117,,2026-05-24,2026-05-24
41140683,2470958,"#887 LISA - Deutsch lernen mit Geschichten [Deutsch lernen durch Hören] @DldH #dldh #learngerman",de,,,268,,2026-05-24,2026-05-24
41193539,2122932,"E-Book PrintPlus-Lizenz - 1 Jahr",de,,,117,,2026-05-24,2026-05-24
42573212,2583976,"Modelltest 4 - Hören - 1.1",de,,,29,,2026-05-24,2026-05-24
42736978,2596652,"Dinner Club: Germany S1:E1 Cyprus, Kurt Krömer",de,,,1179,,2026-05-24,2026-05-24
42737630,2122932,"Watch The Trail | Prime Video",de,,,40,,2026-05-24,2026-05-24
42737801,2596652,"Watch Perfekt Verpasst - Staffel 1 | Prime Video",de,,,245,,2026-05-24,2026-05-24
42738195,2596652,"Beat S1:E1 BEAT",de,,,1085,,2026-05-24,2026-05-24
42738245,2596652,"FC Bayern - Behind The Legend S1:E1 EPISODE 1",de,,,1123,,2026-05-24,2026-05-24
42738324,2596652,"Amazon.de: Perfekt Verpasst - Staffel 1 ansehen | Prime Video",de,,,212,,2026-05-24,2026-05-24
42738415,2143272,"Tomb Raider",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tts_audio_42738415_ee05299d.171d5dad51e6.mp3,,1064,,2026-05-24,2026-05-24
44368960,2253839,Mimi,de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/1_7812df2a.fa685c261ca2.mp3,,1116,,2026-05-24,2026-05-24
44725978,2746438,"Hitzewelle in Deutschland: Höchsttemperaturen bis 40 Grad | TikTok",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/norm_audio_in_39622656.626b70b258fd_e28f20a3.e7a70ae90b1e.mp3,,164,,2026-05-24,2026-05-24
