bai,status,audio_type,has_questions,has_transcript,lingq_lesson_id,audio_url
1.1,need_push_lingq,mp3,yes,yes,**44743345,
1.10,need_push_lingq,mp3,yes,yes,,
1.101,need_push_lingq,mp3,yes,yes,,
1.102,need_push_lingq,mp3,yes,yes,,
1.103,need_push_lingq,mp3,yes,yes,,
1.104,need_push_lingq,mp3,yes,yes,,
1.105,need_push_lingq,mp3,yes,yes,,
1.106,need_push_lingq,mp3,yes,yes,,
1.107,need_push_lingq,mp3,yes,yes,,
1.108,need_convert,mp4_fake,yes,yes,,
1.109,need_push_lingq,mp3,yes,yes,,
1.11,need_push_lingq,mp3,yes,yes,,
1.110,need_convert,mp4_fake,yes,yes,,
1.111,need_convert,mp4_fake,yes,yes,,
1.112,need_push_lingq,mp3,yes,yes,,
1.113,need_push_lingq,mp3,yes,yes,,
1.114,need_push_lingq,mp3,yes,yes,,
1.115,need_push_lingq,mp3,yes,yes,,
1.116,need_push_lingq,mp3,yes,yes,,
1.117,need_push_lingq,mp3,yes,yes,,
1.118,need_push_lingq,mp3,yes,yes,,
1.119,need_push_lingq,mp3,yes,yes,,
1.12,need_push_lingq,mp3,yes,yes,,
1.120,need_push_lingq,mp3,yes,yes,,
1.121,need_push_lingq,mp3,yes,yes,,
1.122,need_push_lingq,mp3,yes,yes,,
1.123,need_push_lingq,mp3,yes,yes,,
1.124,need_push_lingq,mp3,yes,yes,,
1.125,need_push_lingq,mp3,yes,yes,,
1.126,need_push_lingq,mp3,yes,yes,,
1.127,need_push_lingq,mp3,yes,yes,,
1.128,need_push_lingq,mp3,yes,yes,,
1.129,need_push_lingq,mp3,yes,yes,,
1.13,need_push_lingq,mp3,yes,yes,,
1.130,need_push_lingq,mp3,yes,yes,,
1.131,need_push_lingq,mp3,yes,yes,,
1.132,need_push_lingq,mp3,yes,yes,,
1.133,need_push_lingq,mp3,yes,yes,,
1.134,need_push_lingq,mp3,yes,yes,,
1.135,need_push_lingq,mp3,yes,yes,,
1.136,need_push_lingq,mp3,yes,yes,,
1.137,need_push_lingq,mp3,yes,yes,,
1.138,need_push_lingq,mp3,yes,yes,,
1.139,need_push_lingq,mp3,yes,yes,,
1.14,need_push_lingq,mp3,yes,yes,,
1.140,need_push_lingq,mp3,yes,yes,,
1.141,need_push_lingq,mp3,yes,yes,,
1.142,need_push_lingq,mp3,yes,yes,,
1.143,need_push_lingq,mp3,yes,yes,,
1.144,need_push_lingq,mp3,yes,yes,,
1.145,need_push_lingq,mp3,yes,yes,,
1.146,need_push_lingq,mp3,yes,yes,,
1.147,need_push_lingq,mp3,yes,yes,,
1.15,need_push_lingq,mp3,yes,yes,,
1.16,need_push_lingq,mp3,yes,yes,,
1.17,need_push_lingq,mp3,yes,yes,,
1.18,need_push_lingq,mp3,yes,yes,,
1.19,need_push_lingq,mp3,yes,yes,,
1.2,need_push_lingq,mp3,yes,yes,,
1.20,no_audio,missing,yes,yes,,
1.21,no_audio,missing,yes,yes,,
1.22,no_audio,missing,yes,yes,,
1.23,no_audio,missing,yes,yes,,
1.24,no_audio,missing,yes,yes,,
1.25,need_push_lingq,mp3,yes,yes,,
1.26,need_push_lingq,mp3,yes,yes,,
1.27,need_push_lingq,mp3,yes,yes,,
1.28,need_push_lingq,mp3,yes,yes,,
1.29,need_push_lingq,mp3,yes,yes,,
1.3,need_push_lingq,mp3,yes,yes,,
1.30,need_push_lingq,mp3,yes,yes,,
1.31,need_push_lingq,mp3,yes,yes,,
1.32,need_push_lingq,mp3,yes,yes,,
1.33,need_push_lingq,mp3,yes,yes,,
1.34,need_push_lingq,mp3,yes,yes,,
1.35,need_push_lingq,mp3,yes,yes,,
1.36,need_push_lingq,mp3,yes,yes,,
1.37,need_push_lingq,mp3,yes,yes,,
1.38,need_push_lingq,mp3,yes,yes,,
1.39,need_push_lingq,mp3,yes,yes,,
1.4,need_push_lingq,mp3,yes,yes,,
1.40,need_push_lingq,mp3,yes,yes,,
1.41,need_push_lingq,mp3,yes,yes,,
1.42,need_push_lingq,mp3,yes,yes,,
1.43,need_push_lingq,mp3,yes,yes,,
1.44,need_push_lingq,mp3,yes,yes,,
1.45,need_push_lingq,mp3,yes,yes,,
1.46,need_push_lingq,mp3,yes,yes,,
1.47,need_push_lingq,mp3,yes,yes,,
1.48,need_push_lingq,mp3,yes,yes,,
1.49,need_push_lingq,mp3,yes,yes,,
1.5,need_push_lingq,mp3,yes,yes,,
1.50,need_push_lingq,mp3,yes,yes,,
1.51,need_push_lingq,mp3,yes,yes,,
1.52,need_push_lingq,mp3,yes,yes,,
1.53,need_push_lingq,mp3,yes,yes,,
1.54,need_push_lingq,mp3,yes,yes,,
1.55,need_push_lingq,mp3,yes,yes,,
1.56,need_push_lingq,mp3,yes,yes,,
1.57,need_push_lingq,mp3,yes,yes,,
1.58,need_push_lingq,mp3,yes,yes,,
1.59,need_push_lingq,mp3,yes,yes,,
1.6,need_push_lingq,mp3,yes,yes,,
1.60,need_push_lingq,mp3,yes,yes,,
1.61,need_push_lingq,mp3,yes,yes,,
1.62,need_push_lingq,mp3,yes,yes,,
1.63,need_push_lingq,mp3,yes,yes,,
1.64,need_push_lingq,mp3,yes,yes,,
1.65,need_push_lingq,mp3,yes,yes,,
1.66,need_push_lingq,mp3,yes,yes,,
1.67,need_push_lingq,mp3,yes,yes,,
1.68,need_push_lingq,mp3,yes,yes,,
1.69,need_push_lingq,mp3,yes,yes,,
1.7,need_push_lingq,mp3,yes,yes,,
1.70,need_push_lingq,mp3,yes,yes,,
1.71,need_push_lingq,mp3,yes,yes,,
1.72,need_push_lingq,mp3,yes,yes,,
1.73,need_push_lingq,mp3,yes,yes,,
1.74,need_push_lingq,mp3,yes,yes,,
1.75,need_push_lingq,mp3,yes,yes,,
1.76,need_push_lingq,mp3,yes,yes,,
1.77,need_push_lingq,mp3,yes,yes,,
1.78,need_push_lingq,mp3,yes,yes,,
1.79,need_push_lingq,mp3,yes,yes,,
1.8,need_push_lingq,mp3,yes,yes,,
1.80,need_push_lingq,mp3,yes,yes,,
1.81,need_push_lingq,mp3,yes,yes,,
1.82,need_push_lingq,mp3,yes,yes,,
1.83,need_push_lingq,mp3,yes,yes,,
1.84,need_push_lingq,mp3,yes,yes,,
1.85,need_push_lingq,mp3,yes,yes,,
1.86,need_push_lingq,mp3,yes,yes,,
1.87,need_push_lingq,mp3,yes,yes,,
1.88,need_push_lingq,mp3,yes,yes,,
1.89,need_push_lingq,mp3,yes,yes,,
1.9,need_push_lingq,mp3,yes,yes,,
1.90,need_push_lingq,mp3,yes,yes,,
1.91,need_push_lingq,mp3,yes,yes,,
1.92,need_push_lingq,mp3,yes,yes,,
1.93,need_push_lingq,mp3,yes,yes,,
1.94,need_push_lingq,mp3,yes,yes,,
1.95,need_push_lingq,mp3,yes,yes,,
1.96,need_push_lingq,mp3,yes,yes,,
1.97,need_push_lingq,mp3,yes,yes,,
1.98,need_push_lingq,mp3,yes,yes,,
1.99,need_push_lingq,mp3,yes,yes,,
2.1,need_push_lingq,mp3,yes,yes,,
2.10,need_push_lingq,mp3,yes,yes,,
2.100,need_convert,mp4_fake,yes,yes,,
2.101,need_convert,mp4_fake,yes,yes,,
2.102,need_convert,mp4_fake,yes,yes,,
2.103,need_push_lingq,mp3,yes,yes,,
2.104,need_convert,mp4_fake,yes,yes,,
2.105,need_convert,mp4_fake,yes,yes,,
2.106,need_convert,mp4_fake,yes,yes,,
2.107,need_convert,mp4_fake,yes,yes,,
2.108,need_convert,mp4_fake,yes,yes,,
2.109,need_convert,mp4_fake,yes,yes,,
2.11,need_push_lingq,mp3,yes,yes,,
2.110,need_push_lingq,mp3,yes,yes,,
2.111,need_convert,mp4_fake,yes,yes,,
2.112,need_push_lingq,mp3,yes,yes,,
2.113,need_push_lingq,mp3,yes,yes,,
2.114,need_push_lingq,mp3,yes,yes,,
2.115,need_convert,mp4_fake,yes,yes,,
2.116,need_push_lingq,mp3,yes,yes,,
2.117,need_push_lingq,mp3,yes,yes,,
2.118,need_push_lingq,mp3,yes,yes,,
2.119,need_push_lingq,mp3,yes,yes,,
2.12,need_push_lingq,mp3,yes,yes,,
2.120,need_push_lingq,mp3,yes,yes,,
2.121,need_push_lingq,mp3,yes,yes,,
2.122,need_push_lingq,mp3,yes,yes,,
2.123,need_push_lingq,mp3,yes,yes,,
2.124,need_push_lingq,mp3,yes,yes,,
2.125,need_push_lingq,mp3,yes,yes,,
2.126,need_push_lingq,mp3,yes,yes,,
2.127,need_push_lingq,mp3,yes,yes,,
2.128,need_push_lingq,mp3,yes,yes,,
2.129,need_push_lingq,mp3,yes,yes,,
2.13,need_push_lingq,mp3,yes,yes,,
2.130,need_push_lingq,mp3,yes,yes,,
2.131,need_push_lingq,mp3,yes,yes,,
2.132,need_push_lingq,mp3,yes,yes,,
2.133,need_push_lingq,mp3,yes,yes,,
2.134,need_push_lingq,mp3,yes,yes,,
2.135,need_push_lingq,mp3,yes,yes,,
2.136,need_push_lingq,mp3,yes,yes,,
2.137,need_push_lingq,mp3,yes,yes,,
2.14,need_push_lingq,mp3,yes,yes,,
2.15,need_push_lingq,mp3,yes,yes,,
2.16,need_push_lingq,mp3,yes,yes,,
2.17,need_push_lingq,mp3,yes,yes,,
2.18,need_push_lingq,mp3,yes,yes,,
2.19,need_push_lingq,mp3,yes,yes,,
2.2,need_push_lingq,mp3,yes,yes,,
2.20,need_push_lingq,mp3,yes,yes,,
2.21,need_push_lingq,mp3,yes,yes,,
2.22,need_push_lingq,mp3,yes,yes,,
2.23,need_push_lingq,mp3,yes,yes,,
2.24,need_push_lingq,mp3,yes,yes,,
2.25,need_push_lingq,mp3,yes,yes,,
2.26,need_push_lingq,mp3,yes,yes,,
2.27,need_push_lingq,mp3,yes,yes,,
2.28,need_push_lingq,mp3,yes,yes,,
2.29,need_push_lingq,mp3,yes,yes,,
2.3,need_push_lingq,mp3,yes,yes,,
2.30,need_push_lingq,mp3,yes,yes,,
2.31,need_push_lingq,mp3,yes,yes,,
2.32,need_push_lingq,mp3,yes,yes,,
2.33,need_push_lingq,mp3,yes,yes,,
2.34,need_push_lingq,mp3,yes,yes,,
2.35,need_push_lingq,mp3,yes,yes,,
2.36,need_push_lingq,mp3,yes,yes,,
2.37,need_push_lingq,mp3,yes,yes,,
2.38,need_push_lingq,mp3,yes,yes,,
2.39,need_push_lingq,mp3,yes,yes,,
2.4,need_push_lingq,mp3,yes,yes,,
2.40,need_push_lingq,mp3,yes,yes,,
2.41,need_push_lingq,mp3,yes,yes,,
2.42,need_push_lingq,mp3,yes,yes,,
2.43,need_push_lingq,mp3,yes,yes,,
2.44,need_push_lingq,mp3,yes,yes,,
2.45,need_push_lingq,mp3,yes,yes,,
2.46,need_push_lingq,mp3,yes,yes,,
2.47,need_push_lingq,mp3,yes,yes,,
2.48,need_push_lingq,mp3,yes,yes,,
2.49,need_push_lingq,mp3,yes,yes,,
2.5,need_push_lingq,mp3,yes,yes,,
2.50,need_push_lingq,mp3,yes,yes,,
2.51,need_push_lingq,mp3,yes,yes,,
2.52,need_push_lingq,mp3,yes,yes,,
2.53,need_push_lingq,mp3,yes,yes,,
2.54,need_push_lingq,mp3,yes,yes,,
2.55,need_push_lingq,mp3,yes,yes,,
2.56,need_push_lingq,mp3,yes,yes,,
2.57,need_push_lingq,mp3,yes,yes,,
2.58,need_push_lingq,mp3,yes,yes,,
2.59,need_push_lingq,mp3,yes,yes,,
2.6,need_push_lingq,mp3,yes,yes,,
2.60,need_push_lingq,mp3,yes,yes,,
2.61,need_push_lingq,mp3,yes,yes,,
2.62,need_push_lingq,mp3,yes,yes,,
2.63,need_push_lingq,mp3,yes,yes,,
2.64,need_push_lingq,mp3,yes,yes,,
2.65,need_push_lingq,mp3,yes,yes,,
2.66,need_push_lingq,mp3,yes,yes,,
2.67,need_push_lingq,mp3,yes,yes,,
2.68,need_push_lingq,mp3,yes,yes,,
2.69,need_push_lingq,mp3,yes,yes,,
2.7,need_push_lingq,mp3,yes,yes,,
2.70,need_push_lingq,mp3,yes,yes,,
2.71,need_push_lingq,mp3,yes,yes,,
2.72,need_push_lingq,mp3,yes,yes,,
2.73,need_push_lingq,mp3,yes,yes,,
2.74,need_push_lingq,mp3,yes,yes,,
2.75,need_push_lingq,mp3,yes,yes,,
2.76,need_push_lingq,mp3,yes,yes,,
2.77,need_push_lingq,mp3,yes,yes,,
2.78,need_push_lingq,mp3,yes,yes,,
2.79,need_push_lingq,mp3,yes,yes,,
2.8,need_push_lingq,mp3,yes,yes,,
2.80,need_push_lingq,mp3,yes,yes,,
2.81,need_push_lingq,mp3,yes,yes,,
2.82,need_push_lingq,mp3,yes,yes,,
2.83,need_push_lingq,mp3,yes,yes,,
2.84,need_push_lingq,mp3,yes,yes,,
2.85,need_convert,mp4_fake,yes,yes,,
2.86,need_push_lingq,mp3,yes,yes,,
2.87,need_convert,mp4_fake,yes,yes,,
2.88,need_push_lingq,mp3,yes,yes,,
2.89,need_push_lingq,mp3,yes,yes,,
2.9,need_push_lingq,mp3,yes,yes,,
2.90,need_push_lingq,mp3,yes,yes,,
2.91,need_convert,mp4_fake,yes,yes,,
2.92,need_convert,mp4_fake,yes,yes,,
2.93,need_convert,mp4_fake,yes,yes,,
2.94,need_convert,mp4_fake,yes,yes,,
2.95,need_convert,mp4_fake,yes,yes,,
2.96,need_convert,mp4_fake,yes,yes,,
2.97,need_convert,mp4_fake,yes,yes,,
2.98,need_convert,mp4_fake,yes,yes,,
2.99,need_convert,mp4_fake,yes,yes,,
3.1,need_push_lingq,mp3,yes,yes,,
3.10,need_push_lingq,mp3,yes,yes,,
3.11,need_push_lingq,mp3,yes,yes,,
3.12,need_push_lingq,mp3,yes,yes,,
3.13,need_push_lingq,mp3,yes,yes,,
3.14,need_push_lingq,mp3,yes,yes,,
3.15,need_push_lingq,mp3,yes,yes,,
3.16,need_push_lingq,mp3,yes,yes,,
3.17,need_push_lingq,mp3,yes,yes,,
3.18,need_push_lingq,mp3,yes,yes,,
3.19,need_push_lingq,mp3,yes,yes,,
3.2,need_push_lingq,mp3,yes,yes,,
3.20,need_push_lingq,mp3,yes,yes,,
3.21,need_push_lingq,mp3,yes,yes,,
3.22,need_push_lingq,mp3,yes,yes,,
3.23,need_push_lingq,mp3,yes,yes,,
3.24,need_push_lingq,mp3,yes,yes,,
3.25,need_push_lingq,mp3,yes,yes,,
3.26,need_push_lingq,mp3,yes,yes,,
3.27,need_push_lingq,mp3,yes,yes,,
3.28,need_push_lingq,mp3,yes,yes,,
3.29,need_push_lingq,mp3,yes,yes,,
3.3,need_push_lingq,mp3,yes,yes,,
3.30,need_push_lingq,mp3,yes,yes,,
3.31,need_convert,mp4_fake,yes,yes,,
3.4,need_push_lingq,mp3,yes,yes,,
3.5,need_push_lingq,mp3,yes,yes,,
3.6,need_push_lingq,mp3,yes,yes,,
3.7,need_push_lingq,mp3,yes,yes,,
3.8,need_push_lingq,mp3,yes,yes,,
3.9,need_push_lingq,mp3,yes,yes,,
4.10,need_push_lingq,mp3,yes,yes,,
4.11,need_push_lingq,mp3,yes,yes,,
4.12,need_push_lingq,mp3,yes,yes,,
4.13,need_push_lingq,mp3,yes,yes,,
4.14,need_push_lingq,mp3,yes,yes,,
4.15,need_push_lingq,mp3,yes,yes,,
4.16,need_push_lingq,mp3,yes,yes,,
4.17,need_push_lingq,mp3,yes,yes,,
4.18,need_convert,mp4_fake,yes,yes,,
4.19,need_convert,mp4_fake,yes,yes,,
4.2,need_push_lingq,mp3,yes,yes,,
4.20,need_convert,mp4_fake,yes,yes,,
4.21,need_convert,mp4_fake,yes,yes,,
4.22,need_convert,mp4_fake,yes,yes,,
4.23,need_convert,mp4_fake,yes,yes,,
4.24,need_convert,mp4_fake,yes,yes,,
4.25,need_convert,mp4_fake,yes,yes,,
4.26,need_convert,mp4_fake,yes,yes,,
4.27,need_convert,mp4_fake,yes,yes,,
4.28,need_convert,mp4_fake,yes,yes,,
4.29,ready_lingq,mp3,yes,yes,44825394,https://s3.amazonaws.com/media.lingq.com/resources/contents/audio/4.29.a0dc1a5e1c85.mp3
4.3,need_push_lingq,mp3,yes,yes,,
4.30,ready_lingq,mp3,yes,yes,44825395,https://s3.amazonaws.com/media.lingq.com/resources/contents/audio/4.30.157f5fd4c28e.mp3
4.31,ready_lingq,mp3,yes,yes,44825402,https://s3.amazonaws.com/media.lingq.com/resources/contents/audio/4.31.1bad95aa9b4b.mp3
4.4,need_push_lingq,mp3,yes,yes,,
4.5,need_push_lingq,mp3,yes,yes,,
4.6,need_push_lingq,mp3,yes,yes,,
4.7,need_push_lingq,mp3,yes,yes,,
4.8,need_push_lingq,mp3,yes,yes,,
4.9,need_push_lingq,mp3,yes,yes,,
